"DESCRİPTİON","DURATİON İN MS","NAME","PARENT SUİTE","START TİME","STATUS","STOP TİME","SUB SUİTE","SUİTE","TEST CLASS","TEST METHOD"
"","0","test_locked_login","projects.Swaglabs.scenarios","2026-07-08","broken","2026-07-08","","test_login_scenarios","",""
"","301","test_login_with_enter[firefox]","projects.Swaglabs.scenarios","2026-07-08","passed","2026-07-08","","test_login_scenarios","",""
"","88","test_password_txf[firefox]","projects.Swaglabs.scenarios","2026-07-08","passed","2026-07-08","","test_login_scenarios","",""
"","174","test_both_username_password_req[firefox]","projects.Swaglabs.scenarios","2026-07-08","passed","2026-07-08","","test_login_scenarios","",""
"","172","test_false_username_password_req[chromium]","projects.Swaglabs.scenarios","2026-07-08","passed","2026-07-08","","test_login_scenarios","",""
"","306","test_true_password_username_req[firefox]","projects.Swaglabs.scenarios","2026-07-08","passed","2026-07-08","","test_login_scenarios","",""
"","0","test_true_username_password_req","projects.Swaglabs.scenarios","2026-07-08","broken","2026-07-08","","test_login_scenarios","",""
"","61","test_password_placeholder[chromium]","projects.Swaglabs.scenarios","2026-07-08","passed","2026-07-08","","test_login_scenarios","",""
"","268","test_close_error_message[chromium]","projects.Swaglabs.scenarios","2026-07-08","passed","2026-07-08","","test_login_scenarios","",""
"","213","test_invalid_login[firefox]","projects.Swaglabs.scenarios","2026-07-08","passed","2026-07-08","","test_login_scenarios","",""
"","0","test_both_username_password_req","projects.Swaglabs.scenarios","2026-07-08","broken","2026-07-08","","test_login_scenarios","",""
"","324","test_false_username_password_req[firefox]","projects.Swaglabs.scenarios","2026-07-08","passed","2026-07-08","","test_login_scenarios","",""
